epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.877,1.18545,2.00919,1.43834,0.65138,0.12,0.4052,0.22984,1.11699,2.75108,1.50922,0.0005,0.0005,0.0005
2,206.419,1.13085,1.50891,1.38132,0.45354,0.44,0.42966,0.18418,1.53442,2.75382,2.05285,0.0010099,0.0010099,0.0010099
3,310.413,1.2725,1.57762,1.49548,0.34075,0.42,0.3237,0.11698,2.00067,3.15559,2.54377,0.00150951,0.00150951,0.00150951
4,419.616,1.29751,1.59538,1.49883,0.38506,0.43333,0.37984,0.13525,2.12793,3.43343,2.72018,0.0019406,0.0019406,0.0019406
5,529.268,1.26613,1.47098,1.48487,0.41322,0.46,0.34195,0.13223,2.11664,2.56238,2.73363,0.0019208,0.0019208,0.0019208
6,641.554,1.27494,1.39003,1.4739,0.45692,0.29333,0.28038,0.12103,1.78315,3.26594,2.16649,0.001901,0.001901,0.001901
7,758.375,1.21119,1.26878,1.40651,0.6503,0.53333,0.59558,0.31118,1.71244,1.84536,2.29877,0.0018812,0.0018812,0.0018812
8,876.951,1.22303,1.2704,1.4265,0.45333,0.53626,0.4681,0.26224,1.55933,3.19128,1.93535,0.0018614,0.0018614,0.0018614
9,1005.2,1.19424,1.20308,1.44104,0.50594,0.62667,0.58482,0.33723,1.53738,2.69006,1.901,0.0018416,0.0018416,0.0018416
10,1132.76,1.21901,1.21365,1.41269,0.56619,0.67333,0.598,0.34352,1.39831,2.0276,1.83917,0.0018218,0.0018218,0.0018218
11,1254.07,1.12398,1.10138,1.35602,0.64118,0.50667,0.5596,0.27843,1.61331,2.42693,2.01225,0.001802,0.001802,0.001802
12,1383.04,1.1273,1.10156,1.38521,0.75502,0.63695,0.70212,0.42684,1.26338,1.36842,1.62132,0.0017822,0.0017822,0.0017822
13,1508,1.16281,1.10573,1.38171,0.70159,0.6,0.62675,0.34445,1.44993,1.57497,1.81552,0.0017624,0.0017624,0.0017624
14,1630.27,1.13379,1.11469,1.35665,0.73992,0.70667,0.74998,0.45618,1.28659,1.36379,1.69746,0.0017426,0.0017426,0.0017426
15,1758.58,1.11479,1.04433,1.35073,0.76428,0.66,0.74846,0.39364,1.42332,1.41548,1.81031,0.0017228,0.0017228,0.0017228
16,1881.88,1.09437,1.04023,1.34785,0.69918,0.75927,0.73193,0.46011,1.24083,1.47195,1.6071,0.001703,0.001703,0.001703
17,2004.32,1.11234,1.04135,1.34309,0.6,0.56,0.59572,0.30118,1.67043,2.72672,2.00351,0.0016832,0.0016832,0.0016832
18,2128,1.1216,1.0286,1.34321,0.75441,0.65533,0.74767,0.47332,1.3168,1.49776,1.64788,0.0016634,0.0016634,0.0016634
19,2254.7,1.12406,1.01382,1.34975,0.77676,0.74667,0.82581,0.55115,1.13781,1.28359,1.45426,0.0016436,0.0016436,0.0016436
20,2374.2,1.0408,0.98851,1.30902,0.69251,0.82578,0.79528,0.49464,1.29013,1.1979,1.67905,0.0016238,0.0016238,0.0016238
21,2500.34,1.04395,0.94895,1.29725,0.81058,0.73333,0.79994,0.52463,1.18453,1.08006,1.55847,0.001604,0.001604,0.001604
22,2630.45,1.0089,0.93239,1.28235,0.77328,0.75037,0.76125,0.46637,1.28597,1.31315,1.68097,0.0015842,0.0015842,0.0015842
23,2767.23,1.02339,0.92045,1.3008,0.73287,0.74667,0.75541,0.49345,1.18062,1.31416,1.5951,0.0015644,0.0015644,0.0015644
24,2899.22,0.98665,0.89318,1.26023,0.77027,0.78235,0.79578,0.53039,1.23253,1.40389,1.61684,0.0015446,0.0015446,0.0015446
