epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.277,1.72975,2.17171,1.75792,0.3072,0.31258,0.26614,0.09797,1.98144,3.09404,1.96648,0.000554132,0.000554132,0.000554132
2,681.173,1.79631,2.1705,1.81776,0.30147,0.38363,0.26453,0.10717,1.94497,2.56014,1.87988,0.00106545,0.00106545,0.00106545
3,1075.87,1.7587,2.12281,1.80237,0.41588,0.30469,0.28078,0.12185,1.88222,2.1502,1.78596,0.00153236,0.00153236,0.00153236
4,1264.32,1.72265,2.06686,1.77997,0.49557,0.45393,0.40105,0.17852,1.86597,1.98903,1.79989,0.00146716,0.00146716,0.00146716
5,610.509,1.59558,1.85838,1.67996,0.55433,0.39949,0.41359,0.20218,1.75947,1.80728,1.77752,0.00140055,0.00140055,0.00140055
6,354.088,1.50277,1.70825,1.61005,0.53037,0.53625,0.52371,0.24611,1.82109,1.75392,1.8059,0.00133393,0.00133393,0.00133393
